//glyph v-offset width left-offset
  0 2 0
! 0 3 1
" 0 3 0
# 0 7 0
$ 0 5 0
% 0 7 0
& 0 6 0
' 0 2 0 //note: this is the one on standard keyboard at bottom, there's another more ' like one but ill deal with that later
( 0 4 1
) 0 4 0
* 1 7 0
+ 2 5 0
, 8 3 0
- 4 5 0
. 8 3 1
/ 0 5 1
0 0 5 0
1 0 3 0
2 0 5 0
3 0 5 0
4 0 6 0
5 0 5 0
6 0 5 0
7 0 5 0
8 0 5 0
9 0 5 0
: 2 3 1
; 2 3 0
< 2 5 1
= 3 5 0
> 2 5 1
? 0 4 0
@ 0 7 0
A 0 5 0
B 0 5 0
C 0 5 0
D 0 5 0
E 0 5 0
F 0 5 0
G 0 5 0
H 0 5 0
I 0 1 0
J 0 4 0
K 0 5 0
L 0 4 0
M 0 5 0
N 0 5 0
O 0 5 0
P 0 5 0
Q 0 5 0
R 0 5 0
S 0 4 0
T 0 5 0
U 0 5 0
V 0 5 0
W 0 5 0
X 0 5 0
Y 0 5 0
Z 0 4 0
[ 0 4 1
\ 0 5 1
] 0 4 0
^ 0 3 0
_ 8 5 0
` 0 3 1
a 3 5 0
b 0 5 0
c 3 5 0
d 0 5 0
e 3 5 0
f 0 4 0
g 3 5 0
h 0 5 0
i 1 1 0
j 1 3 0
k 0 4 0
l 0 2 0
m 3 7 0
n 3 5 0
o 3 5 0
p 3 5 0
q 3 5 0
r 3 4 0
s 3 4 0
t 1 4 0
u 3 5 0
v 3 5 0
w 3 5 0
x 3 5 0
y 3 5 0
z 3 5 0
{ 0 5 1
| 0 9 4
} 0 5 0
~ 0 7 1
unknown 0 9 0
